# Les points généraux qui ne veulent rien dire sur un produit précis.
#
# Un point général est juste EN GÉNÉRAL. « Aucune tension aux emmanchures ni à
# l'entrejambe » est une bonne consigne pour un manteau et une absurdité pour un
# sac. Le point reste au protocole général — on l'écarte de ce produit-là.
#
# Écarter, pas supprimer : effacer le point le retirerait de TOUS les produits,
# y compris ceux où il tient la route. Il disparaît de la fiche et de la liste à
# cocher du lot, et reste retrouvable, replié, sur la fiche.
#
# Le motif est obligatoire. Dans six mois, personne ne saura si c'était un
# jugement ou un clic de trop.
#
# Le point se désigne par son TITRE, comparé sans accents ni ponctuation : un
# identifiant changerait au prochain import, pas le titre.
#
# Importer : node mrp/import_qualite.js --squelettes --hors-sujet --ecrire
#
# 23/09/2026 — les trois écarts d'origine visaient « Essai porté » (deux fois)
# et « Fermeture éclair », retirés du protocole général le même jour : pas tous
# les produits ont une fermeture éclair ni un corps à enfiler, et un protocole
# général qui suppose les deux n'est pas général. L'écart qui reste porte donc
# sur un point qui, lui, vaut partout — sauf là où il n'y a littéralement pas
# de photo à regarder.
#
# Le même jour, plus tard : la tuque de ville et les deux cache-cous enfant
# ont été écartés eux aussi, puis remis. Ils n'avaient pas de fiche Shopify au
# relevé d'août ; ils en ont une depuis. Un écart n'est bon que tant que son
# motif l'est — celui-là a tenu quelques heures.
#
# 23/09/2026, en fin de journée — le bandeau de tuque urbaine perd tout son
# protocole général. Ce n'est pas un produit : c'est le bandeau INTÉRIEUR de la
# tuque beanie (TUQUE-VILLE), cousu entre la coque et la doublure, jamais vendu
# ni vu. Ce qui s'inspecte sur un vêtement fini — l'abrasion, le lavage,
# l'étiquette, les fils apparents — s'inspecte sur la tuque montée, où ces
# points restent tous actifs. Sur la pièce seule, il ne reste que sa coupe :
# 8 x 44 cm. Décision Admin QC.
#
# 24/09/2026 — le cache-cou adulte perd toute la séquence d'abrasion. Il ne
# frotte contre rien : il se porte au cou, sans surface d'appui. Le double
# frottement éprouve une zone exposée à l'usure — paume d'une mitaine, fond d'un
# sac, assise d'un coussin — et ce produit n'en a pas. Les quatre points partent
# ensemble parce qu'ils sont une seule procédure : le lavage n'existe au
# protocole que pour révéler ce que le frottement a fait. Décision Admin QC.
produit	titre	motif
BANDEAU-TUQUE	Comparaison avec la photo de la boutique	Aucune fiche en ligne : le bandeau tuque urbaine ne se vend pas, il n'y a pas de photo à laquelle comparer.
BANDEAU-TUQUE	Fils qui dépassent — les retirer et les couper	Pièce intérieure prise entre la coque et la doublure de la TUQUE-VILLE : ses fils ne sont ni vus ni touchés une fois la tuque montée. Le point reste actif sur la tuque finie. Décision Admin QC, 23/09/2026.
BANDEAU-TUQUE	Double frottement — 1. à sec	Le bandeau ne frotte contre rien, il est enfermé dans la tuque. L'abrasion se teste sur la TUQUE-VILLE finie, où le point reste actif. Décision Admin QC, 23/09/2026.
BANDEAU-TUQUE	Lavage à l’eau froide, séchage au soleil	Le bandeau ne se lave jamais seul : il part au lavage dans la tuque. La séquence se fait sur la TUQUE-VILLE. Décision Admin QC, 23/09/2026.
BANDEAU-TUQUE	Double frottement — 2. après gel et humidité	Deuxième moitié de la séquence de lavage, qui ne se fait pas sur la pièce seule. Décision Admin QC, 23/09/2026.
BANDEAU-TUQUE	Après la séquence : ce qu’on compare	Sans séquence de lavage sur la pièce, il n'y a rien à comparer. La comparaison se fait sur la TUQUE-VILLE. Décision Admin QC, 23/09/2026.
BANDEAU-TUQUE	Étiquette — sens, position, lisibilité	Composant intérieur non vendu : il ne porte pas d'étiquette. C'est la TUQUE-VILLE qui en porte une, et le point y reste actif. Décision Admin QC, 23/09/2026.
CACHE-COU	Double frottement — 1. à sec	Un cache-cou ne frotte contre rien : porté au cou, il n'a pas de surface d'appui exposée à l'abrasion. Décision Admin QC, 24/09/2026.
CACHE-COU	Lavage à l’eau froide, séchage au soleil	Deuxième temps de la séquence d'abrasion, écartée en entier sur ce produit : le lavage n'est au protocole que pour révéler ce que le frottement a fait. Décision Admin QC, 24/09/2026.
CACHE-COU	Double frottement — 2. après gel et humidité	Troisième temps de la séquence d'abrasion, écartée en entier sur ce produit. Décision Admin QC, 24/09/2026.
CACHE-COU	Après la séquence : ce qu’on compare	Sans séquence d'abrasion, il n'y a rien à comparer. Décision Admin QC, 24/09/2026.
